Id,Label
0,
1,milliarden
2,heftig!
3,zu streich kommen (mit)
4,menses
5,spaten
6,umweltverträglich
7,(sich) aneignen
8,locken
9,wenige male
10,blickrichtung
11,schauspielhaus
12,zwanglos
13,schon einmal
14,vortrag
15,zurückweisung
16,vergewaltigen
17,ackern
18,nichts zu tun haben wollen mit
19,(höhen) messen
20,innerhalb (von)
21,unternehmer
22,koordinierung
23,planet
24,gesorgt
25,aha-erlebnis
26,praxistauglich
27,"lass jucken, kumpel!"
28,spielleiter
29,ein haufen
30,auf der gehaltsliste (stehen) (bei)
31,unerfreulicherweise
32,angeschafft
33,lügen
34,zur-schau-stellung
35,fabian
36,granate
37,(irgendwo) pennen
38,(sich) gestalten (zu)
39,(etwas) macht einen anderen menschen (aus jemandem)
40,geiger
41,kuschelschnuppe
42,zeitig
43,drei
44,hinauftreiben
45,in schuss halten
46,hinter jemandem her
47,in dauerschleife
48,(sofort) ins auge springen
49,(jemanden in etwas) unterweisen
50,bruder (anrede)
51,aufwenden
52,tohuwabohu
53,(der) akku ist leer
54,pflicht
55,(erneut) unterstreichen
56,arbeiten (bei/in einem unternehmen)
57,grandezza
58,gegenstandsbezogen
59,verve
60,begrenzte
61,(es) mit der wahrheit nicht so genau nehmen
62,querung
63,einsickern
64,corona-zahlen
65,(jemandem) einen schlag versetzen
66,in sich geschlossen
67,teilgenommen
68,zäh (sein)
69,über (...) hinaus
70,(für ein kind) verantwortlich
71,gastronomen
72,schlendern
73,dieses
74,zu erwarten haben
75,nie ohne
76,bahnhof
77,(jemandes) bestimmung sein
78,umgestellt
79,aufsehenerregend
80,aufgreifen
81,ber
82,(schriftliche) vereinbarung
83,besagt
84,befindet
85,wie aus dem bilderbuch
86,flüchtlingslager
87,(das) fetzt
88,silber
89,seine aktive zeit beenden
90,gegeneinander ausspielen
91,peripherie
92,"dafür sorgen, dass etwas aufhört"
93,pub
94,inszeniert
95,getränke
96,empfängt
97,beweise
98,ergänzung
99,gespart
100,('ne) hohle nuss
101,honoratior
102,saufen
103,(in) juristenlatein
104,beteiligter
105,empfehlenswert sein
106,brandenburger
107,(das) sieht ihm ähnlich
108,(ach) tatsächlich?
109,(jemandem) passen (kleidung)
110,indirekt
111,diligenz
112,weglesen
113,bern
114,...freund
115,(ein vom menschen hergestellter) gegenstand
116,ernst gemeint
117,soll so sein
118,bulle
119,im evaskostüm
120,voller entdeckerfreude
121,stadtwerke
122,galvanischer überzug
123,verräumen
124,beweist
125,erhöhte
126,einwand
127,von hohem wuchs
128,(die) große weite welt
129,liebesverhältnis
130,abaddon (bibl.)
131,farbkraft
132,rückentwicklung
133,stellung beziehen gegen
134,pop
135,waidwerk
136,hauptgeschäftsstelle
137,koalition (parlament)
138,impfstoffe
139,rollstuhl
140,pixel
141,rekurs
142,verblümt
143,mit sorglichkeit
144,urdenklich
145,barke
146,per
147,gerippe
148,ins auge fallen(d)
149,herunter
150,preiserhöhung
151,oldenburg
152,fasslich
153,h₂o
154,ausdeutung
155,gelegenheits...
156,vorausschau
157,baute
158,verlaufen
159,alles verraten
160,weitergereicht werden
161,seltsam (unerklärlich)
162,grund und boden
163,franzmann
164,aktionsbündnis
165,nicht zögern (zu)
166,grünes licht
167,bitte
168,aufmotzen
169,nichtssagend
170,geborgen
171,hergestellt
172,ein amt bekleiden
173,heilen
174,mit orden und ehrenzeichen versehen
175,haltung
176,nicht ausbleiben
177,(wie) gestochen
178,(jemanden) nicht fallen lassen
179,bundesregierung
180,abzgl.
181,kätzchen
182,antony
183,jeden zeitlichen rahmen sprengen
184,baum
185,überschritten
186,aufgeteilt
187,bürgen (für)
188,märkten
189,warten
190,(sich) nicht kümmern um
191,einpfropfen
192,weiblichen
193,telegraphische depesche
194,wie ein einsiedler
195,geschäftsträger
196,herrscht
197,ein echter (klaus)
198,kritiker
199,auf grund von
200,kongruenz
201,"löli (lööli, lööl, löu)"
202,bitte schön
203,alkoholhaltiges getränk
204,von überall (her)
205,zwingend erforderlich
206,sprach
207,in persona
208,à jour bringen
209,dünn gesät
210,mist bauen
211,darauf
212,alle paar (...) mal
213,(sich) ableiten (von)
214,haftstrafe
215,bestand (an)
216,ins rennen schicken
217,entsteht
218,baby
219,herrschaftsgebiet
220,(jemandem) zur hand gehen
221,krankhafte leidenschaft (für)
222,weit verbreitet
223,(jemanden) anspielen
224,knallhart
225,nonkonformist
226,(ach du) heiliger strohsack!
227,relevanten
228,bereitet
229,gern zitiert
230,heu
231,brände
232,unumstritten
233,(sich) weithin erstrecken(d)
234,moribund
235,erwischt
236,unnotwendig
237,vorliegenden
238,gewahrsam
239,löhnen
240,ad hoc
241,(bei jemandem erinnerungen) wach werden lassen
242,darauf aus sein (zu + infinitiv)
243,aufwühlend
244,beide
245,(vom gesetz) gefordert
246,tadeln
247,begleiterin
248,marius
249,rauch
250,lebensgefahr
251,(einen film / eine sendung) gucken
252,städte
253,rüberbringen
254,untätig dabeistehen (und glotzen)
255,deswegen
256,abzocker
257,(unter dem) deckmantel (des/der ...)
258,(ein) weißer rabe
259,kwh
260,fantasiebegabt
261,partisanenkrieg
262,(sich) tragen
263,vorverkauf
264,besser machen
265,begegnung
266,jemandes zuhause sein
267,leichte
268,umwelt
269,auf einmal
270,ungestalt
271,ländlichen
272,korn
273,nachträglich
274,indignation
275,nicht per telefon
276,fahrerkabine
277,â
278,strafvollzugsanstalt
279,ausgerissen
280,(jemandem) präsent sein
281,konstitutivum
282,(einfach) nicht wollen
283,osteuropa
284,profund
285,(linkes o.ä.) spektrum
286,kreisgüte
287,zuchthaus
288,(sich) ungeschickt ausdrücken
289,antritts...
290,(ein) risiko eingehen
291,am beginn
292,luftblase
293,sachbezogen
294,finanzielle vorteile bringen
295,(sich) tun
296,gewichtung
297,hinschied
298,prähm
299,gastiert
300,propagandafeldzug
301,sportarten
302,dekorierung
303,nicht weiter produzieren
304,(für jemanden) geeignet (sein)
305,mäusle
306,drohendes unheil
307,unseligerweise
308,epigramm
309,holz
310,sozialverträglich
311,steiermark
312,ticketschalter
313,(jemandem) in die arme spielen
314,moralische werte
315,konziliant
316,schatzi
317,(eine) idee
318,anhin
319,autor
320,urheber
321,(ausländische) diaspora
322,oma
323,nicht hereinlassen
324,herunterlassen
325,rauchentwicklung
326,markieren
327,unangebracht
328,unterrichtsstoff
329,(plötzliche) einsicht
330,(eine) studierende
331,riesen...
332,(jemandem) die hand reichen (zur versöhnung usw.)
333,(den) arsch in der hose haben (zu)
334,angebot (informatik)
335,beschirmung
336,nicht die hellste birne im kronleuchter
337,(kleines) dorf
338,(durch reiben) entfernen
339,papa
340,unmittelbaren
341,entwöhnen
342,bruchstelle
343,großartig
344,wünscht
345,gesundheitslehre
346,hamburgs
347,probat
348,ansehnlich (summe)
349,hier in der ecke
350,sowohl ... als auch
351,(jemanden) bremsen
352,hinaus
353,anzetteln
354,bankkonto
355,grundregel
356,nicht zu glauben!
357,gelumpe
358,festigen
359,versiegen
360,eisenhart
361,geldschein
362,proverb
363,kümmert
364,retten
365,schlaf
366,zweitklassig
367,töricht
368,zweikampf
369,"(man) beschied ihn kühl, dass"
370,frei (reden)
371,die richtschnur vorgeben
372,julei (gesprochene form)
373,lieferten
374,knorke
375,schwer (speisen)
376,drittel (eishockey)
377,schaulaufen
378,gezielt
379,beschäftigte
380,gebildet
381,kauft
382,walter
383,riesenerfolg
384,größe
385,erfahren
386,human
387,dokumentarfilm
388,streitgespräch
389,abgeschlagen
390,in ein paar minuten
391,liquidation
392,erhöhung
393,spannungen
394,oha!
395,nachdurst
396,tiefgehend
397,wegbrechen
398,zuspitzung
399,dehnen
400,(einfach) behalten
401,hervorkehren
402,ukraine-krise
403,sporig
404,dritter
405,thema sein (zwischen)
406,besorgnis
407,waldhorn
408,besser (sozialer status)
