Source,Target,Type
29235,33482,Directed
29235,22792,Directed
29235,41031,Directed
29235,17915,Directed
29235,34970,Directed
29235,42394,Directed
29235,3772,Directed
29235,26963,Directed
29235,5539,Directed
29235,34980,Directed
29235,10850,Directed
29235,35244,Directed
29235,9477,Directed
29235,40804,Directed
29235,25727,Directed
29235,41372,Directed
29235,9706,Directed
29235,5247,Directed
29235,33755,Directed
29235,8527,Directed
29235,683,Directed
29235,18470,Directed
29235,22507,Directed
29235,20915,Directed
29235,29616,Directed
29235,39074,Directed
29235,5319,Directed
29235,14177,Directed
29235,40432,Directed
29235,9890,Directed
29235,4961,Directed
29235,41057,Directed
29235,10847,Directed
29235,36666,Directed
29235,20795,Directed
29235,14983,Directed
29235,5927,Directed
29235,22792,Directed
29235,3594,Directed
29235,12379,Directed
29235,16325,Directed
29235,40432,Directed
29235,33823,Directed
29235,22971,Directed
29235,36576,Directed
29235,33360,Directed
29235,16752,Directed
29235,13430,Directed
29235,42911,Directed
29235,3351,Directed
29235,29952,Directed
29235,34235,Directed
29235,20903,Directed
29235,32481,Directed
39384,40942,Directed
39384,20808,Directed
39384,35035,Directed
39384,4800,Directed
39384,19056,Directed
39384,7963,Directed
39384,39384,Directed
39384,39384,Directed
39384,11625,Directed
39384,8505,Directed
39384,39384,Directed
39384,40942,Directed
39384,3190,Directed
39384,40786,Directed
39384,30398,Directed
39384,17081,Directed
39384,38099,Directed
39384,3981,Directed
39384,32202,Directed
39384,6455,Directed
39384,29678,Directed
39384,18946,Directed
39384,23232,Directed
39384,3295,Directed
34641,28437,Directed
34641,8132,Directed
34641,27821,Directed
34641,37104,Directed
34641,42000,Directed
34641,30912,Directed
34641,23744,Directed
34641,265,Directed
34641,9300,Directed
34641,14748,Directed
34641,590,Directed
34641,37352,Directed
34641,35340,Directed
34641,26450,Directed
34641,26076,Directed
34641,15697,Directed
34641,11978,Directed
34641,2415,Directed
34641,21268,Directed
34641,23578,Directed
34641,20420,Directed
34641,25265,Directed
41839,41839,Directed
41839,40463,Directed
41839,33635,Directed
41839,34719,Directed
41839,30398,Directed
41839,17081,Directed
41839,38099,Directed
41839,3981,Directed
41839,32202,Directed
41839,6455,Directed
41839,29678,Directed
41839,18946,Directed
41839,23232,Directed
41839,3295,Directed
37645,6222,Directed
37645,43101,Directed
37645,42807,Directed
37645,20270,Directed
37645,10226,Directed
37645,26155,Directed
37645,37645,Directed
37645,20945,Directed
37645,1365,Directed
37645,17442,Directed
37645,21158,Directed
37645,42811,Directed
37645,4736,Directed
37645,37887,Directed
37645,29590,Directed
37645,2904,Directed
37645,36733,Directed
37645,43159,Directed
37645,39053,Directed
37645,35624,Directed
37645,16246,Directed
37645,37645,Directed
37645,4960,Directed
37645,34086,Directed
37645,28964,Directed
37645,38983,Directed
37645,7412,Directed
37645,34520,Directed
37645,37512,Directed
37645,34943,Directed
37645,43792,Directed
37645,37645,Directed
37645,26506,Directed
37645,33835,Directed
37645,8513,Directed
37645,564,Directed
37645,15953,Directed
37645,18280,Directed
37645,41020,Directed
37645,8349,Directed
37645,32208,Directed
37645,225,Directed
37645,39278,Directed
37645,37645,Directed
37645,27030,Directed
37645,7640,Directed
37645,37199,Directed
37645,33629,Directed
37645,43558,Directed
37645,24405,Directed
37645,10038,Directed
37645,40708,Directed
37645,37645,Directed
37645,13476,Directed
37645,22511,Directed
37645,25495,Directed
37645,21954,Directed
37645,18734,Directed
37645,24196,Directed
37645,37645,Directed
37645,20366,Directed
37645,33081,Directed
37645,5249,Directed
37645,42908,Directed
37645,7888,Directed
37645,24852,Directed
37645,37645,Directed
37645,9013,Directed
37645,37191,Directed
37645,22547,Directed
37645,7795,Directed
37645,6618,Directed
37645,15001,Directed
37645,33451,Directed
37645,5361,Directed
37645,22633,Directed
37645,32780,Directed
37645,24975,Directed
37645,22406,Directed
37645,15203,Directed
37645,36846,Directed
37645,25495,Directed
37645,23025,Directed
37645,8398,Directed
37645,30134,Directed
37645,43405,Directed
37645,37645,Directed
30401,30401,Directed
30401,9929,Directed
30401,34929,Directed
30401,41642,Directed
30401,5728,Directed
30401,42659,Directed
30401,30839,Directed
30401,11031,Directed
30401,31050,Directed
30401,30401,Directed
30401,23657,Directed
40432,21957,Directed
40432,14241,Directed
40432,3883,Directed
40432,38043,Directed
40432,14177,Directed
40432,40432,Directed
40432,11651,Directed
40432,19071,Directed
40432,17984,Directed
40432,7175,Directed
40432,34447,Directed
40432,3602,Directed
40432,30161,Directed
40432,43854,Directed
40432,10257,Directed
40432,4330,Directed
40432,28616,Directed
40432,5313,Directed
40432,8381,Directed
40432,30133,Directed
40432,34515,Directed
40432,42705,Directed
40432,21229,Directed
40432,31288,Directed
40432,42760,Directed
40432,8591,Directed
40432,5579,Directed
40432,15561,Directed
40432,40432,Directed
40432,2490,Directed
40432,27984,Directed
40432,18857,Directed
40432,5264,Directed
40432,28267,Directed
40432,25925,Directed
40432,33482,Directed
40432,22792,Directed
40432,41031,Directed
40432,17915,Directed
40432,34970,Directed
40432,42394,Directed
40432,3772,Directed
40432,26963,Directed
40432,5539,Directed
40432,34980,Directed
40432,10850,Directed
40432,35244,Directed
40432,9477,Directed
40432,40804,Directed
40432,25727,Directed
40432,41372,Directed
40432,9706,Directed
40432,5247,Directed
40432,33755,Directed
40432,8527,Directed
40432,683,Directed
40432,18470,Directed
40432,22507,Directed
40432,20915,Directed
40432,29616,Directed
40432,39074,Directed
40432,5319,Directed
40432,14177,Directed
40432,40432,Directed
40432,9890,Directed
40432,4961,Directed
40432,41057,Directed
40432,10847,Directed
40432,36666,Directed
40432,20795,Directed
40432,14983,Directed
40432,5927,Directed
40432,22792,Directed
40432,3594,Directed
40432,12379,Directed
40432,16325,Directed
40432,40432,Directed
40432,33823,Directed
40432,22971,Directed
40432,36576,Directed
40432,33360,Directed
40432,16752,Directed
40432,13430,Directed
40432,42911,Directed
40432,3351,Directed
40432,29952,Directed
40432,34235,Directed
40432,20903,Directed
40432,32481,Directed
13307,1759,Directed
13307,1961,Directed
13307,8926,Directed
13307,13307,Directed
13307,32979,Directed
13307,34343,Directed
13307,14354,Directed
13307,10556,Directed
13307,13307,Directed
13307,22810,Directed
13307,2227,Directed
13307,19793,Directed
13307,23154,Directed
13307,13307,Directed
13307,22901,Directed
13307,23081,Directed
13307,12136,Directed
13307,11048,Directed
13307,18647,Directed
13307,5300,Directed
13307,34997,Directed
13307,31272,Directed
13307,9,Directed
13307,3667,Directed
13307,30366,Directed
13307,7270,Directed
13307,36425,Directed
13307,14417,Directed
13307,15705,Directed
13307,36098,Directed
13307,23416,Directed
13307,11701,Directed
13307,8301,Directed
13307,42901,Directed
13307,210,Directed
13307,42513,Directed
13307,23086,Directed
13307,11314,Directed
13307,18796,Directed
13307,17181,Directed
13307,35050,Directed
13307,34343,Directed
13307,43989,Directed
13307,18452,Directed
13307,13307,Directed
13307,6222,Directed
13307,43101,Directed
13307,42807,Directed
13307,20270,Directed
13307,10226,Directed
13307,26155,Directed
13307,37645,Directed
13307,20945,Directed
13307,1365,Directed
13307,17442,Directed
13307,21158,Directed
13307,42811,Directed
13307,4736,Directed
13307,37887,Directed
13307,29590,Directed
13307,2904,Directed
13307,36733,Directed
13307,43159,Directed
13307,39053,Directed
13307,27396,Directed
13307,26636,Directed
2539,19560,Directed
2539,10909,Directed
2539,2539,Directed
2539,21744,Directed
2539,42829,Directed
2539,6582,Directed
2539,2720,Directed
2539,15878,Directed
2539,2539,Directed
2539,40081,Directed
2539,2439,Directed
2539,5832,Directed
39728,2232,Directed
39728,25207,Directed
39728,42944,Directed
39728,39728,Directed
39728,3550,Directed
39728,24950,Directed
39728,25008,Directed
39728,11981,Directed
39728,21473,Directed
39728,8748,Directed
39728,11592,Directed
39728,42505,Directed
39728,10309,Directed
39728,9259,Directed
39728,19345,Directed
39728,21464,Directed
39728,41776,Directed
39728,4530,Directed
39728,36094,Directed
39728,32433,Directed
23414,27973,Directed
23414,4624,Directed
23414,34675,Directed
23414,10281,Directed
23414,28342,Directed
23414,12935,Directed
23414,14301,Directed
23414,39871,Directed
23414,12469,Directed
23414,17524,Directed
23414,21602,Directed
23414,24975,Directed
23414,23414,Directed
23414,26973,Directed
23414,26512,Directed
23414,28384,Directed
23414,32722,Directed
23414,4624,Directed
23414,34097,Directed
23414,30511,Directed
23414,34541,Directed
23414,33395,Directed
23414,13612,Directed
23414,25372,Directed
23414,3573,Directed
23414,23414,Directed
23414,22666,Directed
23414,27973,Directed
23414,17891,Directed
23414,20237,Directed
23414,36960,Directed
23414,20823,Directed
23414,34675,Directed
23414,12747,Directed
23414,42255,Directed
23414,34706,Directed
23414,32587,Directed
23414,33448,Directed
23414,30878,Directed
23414,25734,Directed
23414,14301,Directed
23414,26245,Directed
23414,23414,Directed
23414,14632,Directed
23414,29485,Directed
23414,30134,Directed
23414,7794,Directed
